yr,rgCode,rgDesc,rtCode,rtTitle,ptCode,ptTitle,cmdCode,cmdDescE,TradeValue
2016,1,Import,562,Niger,764,Thailand,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,13775
2016,1,Import,704,Viet Nam,381,Italy,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1965294
2012,1,Import,268,Georgia,724,Spain,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",9778236
1997,1,Import,384,Côte d'Ivoire,381,Italy,32,"Tanning, dyeing extracts, tannins, derivs,pigments et",937142
1999,2,Export,344,"China, Hong Kong SAR",792,Turkey,60,Knitted or crocheted fabric,223723
2017,2,Export,480,Mauritius,410,Rep. of Korea,93,Arms and ammunition; parts and accessories thereof,25468
2012,1,Import,398,Kazakhstan,458,Malaysia,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",403300
2015,1,Import,414,Kuwait,381,Italy,93,Arms and ammunition; parts and accessories thereof,4847652
2000,1,Import,276,Germany,392,Japan,16,"Meat, fish and seafood food preparations nes",122000
2018,1,Import,724,Spain,276,Germany,88,"Aircraft, spacecraft and parts thereof",700346145
1993,2,Export,757,Switzerland,32,Argentina,20,"Vegetable, fruit, nut, etc food preparations",145698
2002,1,Import,643,Russian Federation,268,Georgia,12,Oil seeds and oleaginous fruits,62833
2000,1,Import,842,USA,704,Viet Nam,27,"Mineral fuels, oils, distillation products, etc",88478851
1995,2,Export,246,Finland,40,Austria,17,Sugars and sugar confectionery,761159
1990,1,Import,757,Switzerland,372,Ireland,49,"Printed books, newspapers, pictures etc",229349
1991,2,Export,360,Indonesia,504,Morocco,76,Aluminium and articles thereof,28651
1998,2,Export,156,China,484,Mexico,12,"Oil seed, oleagic fruits, grain, seed, fruit, etc, nes",3612480
2017,1,Import,170,Colombia,360,Indonesia,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",25652574
2015,2,Export,32,Argentina,360,Indonesia,96,Miscellaneous manufactured articles,408
2007,2,Export,528,Netherlands,392,Japan,25,"Salt; sulphur; earths and stone; plastering materials, lime and cement",6478361
2015,2,Export,699,India,246,Finland,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",44926
2005,1,Import,410,Rep. of Korea,0,World,39,Plastics and articles thereof,5400581795
2013,1,Import,496,Mongolia,484,Mexico,17,Sugars and sugar confectionery,330
2014,2,Export,156,China,498,Rep. of Moldova,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",992732
2004,2,Export,344,"China, Hong Kong SAR",156,China,16,"Preparations of meat, of fish or of crustaceans",23536738
